Source	Citation
Noda et al 2001	"Noda, S. C. M., Silva, E. R. D., & Giannotti, E. (2001). Dominance hierarchy in different stages of development in colonies of the primitively eusocial wasp Mischocyttarus cerberus styx (Hymenoptera, Vespidae). Sociobiology, 603-614."
Nonacs and Reeve 1995	"Nonacs, P., & Reeve, H. K. (1995). The ecology of cooperation in wasps: causes and consequences of alternative reproductive decisions. Ecology, 76(3), 953-967."
Nonacs et al 2004	"Nonacs, P., Reeve, H. K., & Starks, P. T. (2004). Optimal reproductive-skew models fail to predict aggression in wasps. Proceedings of the Royal Society of London, Series B: Biological Sciences, 271(1541), 811-817."
Noonan 1978	"Noonan, K. M. (1978). Sex ratio of parental investment in colonies of the social wasp Polistes fuscatus. Science, 199(4335), 1354-1356."
Nowak et al 2010	"Nowak, M. A., Tarnita, C. E., & Wilson, E. O. (2010). The evolution of eusociality. Nature, 466(7310), 1057-1062."
O'Donnell and Joyce 2001	"O'Donnell, S., & Joyce, F. J. (2001). Seasonality and Colony Composition in a Montane Tropical Eusocial Wasp 1, 2. Biotropica, 33(4), 727-732."
Oberprieler and Spradbery  2009	"Oberprieler, S. K., & Spradbery, J. P. (2009). Early_season colony development of the paper wasp Ropalidia plebeiana (Hymenoptera: Vespidae) in Canberra, Australia. Entomological science, 12(2), 202-207."
Oliveira et al. 2012	"Oliveira, V. C., Desuó, I. C., Murakami, A. S. N., & Shima, S. N. (2012). Dominance and Subordination Interactions Among Nestmates in Pre and Post-Emergence Phases of the Basal Eusocial Wasp Mischocyttarus (Monogynoecus) montei (Hymenoptera, Vespidae). Sociobiology, 999-1013."
Olivera et al 2010	"De Oliveira, S. A., De Castro, M. M., & Prezoto, F. (2010). Foundation pattern, productivity and colony success of the paper wasp, Polistes versicolor. Journal of Insect Science, 10(1), 125."
Panek and Gamboa 2000	"Panek, L. M., & Gamboa, G. J. (2000). Queens of the paper wasp Polistes fuscatus (Hymenoptera: Vespidae) discriminate among larvae on the basis of relatedness. Ethology, 106(2), 159-170."
Picchi 2015	"Picchi L. 2015. Nest defence in the social wasps Polistes biglumis: differences among populations. (Master dissertation) University of Turin, Italy."
Pickett and Wenzel 2000	"Pickett, K. M., & Wenzel, J. W. (2000). High productivity in haplometrotic colonies of the introduced paper wasp Polistes dominulus (Hymenoptera: Vespidae; Polistinae). Journal of the New York Entomological Society, 108(3), 314-325."
Post and Jeane 1981	"Post, D. C., & Jeanne, R. L. (1981). Colony defense against ants by Polistes fuscatus (Hymenoptera: Vespidae) in Wisconsin. Journal of the Kansas Entomological Society, 599-615."
Prezoto 2001	"Prezoto, F. (2001). Estudos biológicos e etológicos de Polistes (Aphanilopterus) simillimus Zikan, 1951 (Doctoral dissertation, Instituto de Biociências de Rio Claro da Universidade Estadual Paulista.)."
Prezoto et al 2004	"Prezoto, F., Vilela, A. P., Lima, M. A., D'avila, S., Souza Sinzato, D. M., Andrade, F. R., ... & Giannotti, E. (2004). Dominance hierarchy in different stages of development in colonies of the primitively eusocial wasp Mischocyttarus cassununga (Hymenoptera, Vespidae). Sociobiology, 44(2), 379-390."
Prezoto et al. 2015	"Prezoto, F., de Castro, M. M., de Souza, A. R., & Gobbi, N. (2015). Foundress association in the paper wasp Polistes simillimus (Hymenoptera: Vespidae). Florida entomologist, 98(2), 556-559."
Queller et al 2000	"Queller, D. C., Zacchi, F., Cervo, R., Turillazzi, S., Henshaw, M. T., Santorelli, L. A., & Strassmann, J. E. (2000). Unrelated helpers in a social insect. Nature, 405(6788), 784-787."
Rau 1931	"Rau, P. (1931). The Nesting Habits of Polistes rubiginosis, with Special Reference to Pleometrosis in this and other Species of Polistes Wasps. Psyche, 38(4), 129-144."
Rau 1939	"Rau, P. (1939). Population studies in colonies of Polistes wasps; with remarks on the castes. Ecology, 20(3), 439-442."
Rau 1940a	"Rau, P. (1940). Co-Operative Nest-Founding by the Wasp, Polistes Annularis Linn. Annals of the Entomological Society of America, 33(4), 617-620."
Rau 1940b	"Rau, P. (1940b). The nesting habits of several species of Mexican social wasps. Ann. Entomol. Soc. Am., 33, 81–94."
Rau 1941	"Rau, P. (1941). The swarming of Polistes wasps in temperate regions. Annals of the Entomological Society of America, 34(3), 580-584."
Reed et al 1988	"Reed, H. C., Gallego, J., & Nelson, J. (1988). Morphological evidence for polygyny in post-emergence colonies of the red paper wasp, Polistes perplexus Cresson (Hymenoptera: Vespidae). Journal of the Kansas Entomological Society, 453-463."
Reeve and Nonacs 1997	"Reeve, H. K., & Nonacs, P. (1997). Within-group aggression and the value of group members: theory and a field test with social wasps. Behavioral Ecology, 8(1), 75-82."
Richards 1978	"Richards, O. W. (1978). The Australian social wasps (Hymenoptera: Vespidae). Australian Journal of Zoology, 26(61), 1-132."
Richards and Richards 1951	"Richards, O.W. & Richards, M.J. (1951). Observations on the social wasps of South America (Hymenoptera Vespidae). Trans. R. Entomol. Soc. Lond., 102, 1–169."
